model,user_id,relevant_test_movies,hits,precision_at_10
Popularity Baseline,95,61,2,0.2
Popularity Baseline,96,24,3,0.3
Popularity Baseline,97,24,3,0.3
Popularity Baseline,98,3,0,0.0
Popularity Baseline,99,38,2,0.2
Popularity Baseline,100,8,0,0.0
Popularity Baseline,101,6,1,0.1
Popularity Baseline,102,12,2,0.2
Popularity Baseline,103,9,1,0.1
Popularity Baseline,104,7,0,0.0
Popularity Baseline,105,4,0,0.0
Popularity Baseline,106,26,2,0.2
Popularity Baseline,107,5,0,0.0
Popularity Baseline,108,8,1,0.1
Popularity Baseline,109,49,1,0.1
Popularity Baseline,110,13,0,0.0
Popularity Baseline,111,7,0,0.0
Popularity Baseline,112,14,0,0.0
Popularity Baseline,113,11,0,0.0
Popularity Baseline,114,9,0,0.0
Popularity Baseline,115,29,2,0.2
Popularity Baseline,116,14,1,0.1
Popularity Baseline,117,36,3,0.3
Popularity Baseline,118,26,0,0.0
Popularity Baseline,119,64,1,0.1
Popularity Baseline,120,7,0,0.0
Popularity Baseline,121,15,1,0.1
Popularity Baseline,122,19,0,0.0
Popularity Baseline,123,13,0,0.0
Popularity Baseline,124,6,0,0.0
Popularity Baseline,125,45,5,0.5
Popularity Baseline,126,10,0,0.0
Popularity Baseline,127,10,0,0.0
Popularity Baseline,128,57,4,0.4
Popularity Baseline,129,2,0,0.0
Popularity Baseline,130,121,3,0.3
Popularity Baseline,131,12,0,0.0
Popularity Baseline,132,4,0,0.0
Popularity Baseline,133,2,0,0.0
Popularity Baseline,134,8,0,0.0
Popularity Baseline,135,18,2,0.2
Popularity Baseline,136,13,0,0.0
Popularity Baseline,137,22,1,0.1
Popularity Baseline,138,22,4,0.4
Popularity Baseline,139,8,0,0.0
Popularity Baseline,140,4,0,0.0
Popularity Baseline,141,24,1,0.1
Popularity Baseline,142,7,1,0.1
Popularity Baseline,143,4,0,0.0
Popularity Baseline,144,63,4,0.4
Popularity Baseline,145,63,1,0.1
Popularity Baseline,146,6,0,0.0
Popularity Baseline,147,9,0,0.0
Popularity Baseline,148,24,3,0.3
Popularity Baseline,149,3,0,0.0
Popularity Baseline,150,18,1,0.1
Popularity Baseline,151,99,7,0.7
Popularity Baseline,152,29,1,0.1
Popularity Baseline,153,2,1,0.1
Popularity Baseline,154,17,2,0.2
Popularity Baseline,155,2,0,0.0
Popularity Baseline,156,11,1,0.1
Popularity Baseline,157,15,0,0.0
Popularity Baseline,158,47,2,0.2
Popularity Baseline,159,21,0,0.0
Popularity Baseline,160,35,2,0.2
Popularity Baseline,161,4,1,0.1
Popularity Baseline,162,17,1,0.1
Popularity Baseline,163,6,3,0.3
Popularity Baseline,164,25,0,0.0
Popularity Baseline,165,9,0,0.0
Popularity Baseline,166,7,0,0.0
Popularity Baseline,167,12,1,0.1
Popularity Baseline,168,18,0,0.0
Popularity Baseline,169,11,1,0.1
Popularity Baseline,170,4,0,0.0
Popularity Baseline,171,5,0,0.0
Popularity Baseline,172,5,0,0.0
Popularity Baseline,173,13,0,0.0
Popularity Baseline,174,45,0,0.0
Popularity Baseline,175,8,1,0.1
Popularity Baseline,176,15,1,0.1
Popularity Baseline,177,30,1,0.1
Popularity Baseline,178,76,3,0.3
Popularity Baseline,179,10,0,0.0
Popularity Baseline,180,19,0,0.0
Popularity Baseline,181,9,0,0.0
Popularity Baseline,182,6,0,0.0
Popularity Baseline,183,9,1,0.1
Popularity Baseline,184,60,2,0.2
Popularity Baseline,185,22,1,0.1
Popularity Baseline,186,25,0,0.0
Popularity Baseline,187,15,1,0.1
Popularity Baseline,188,31,2,0.2
Popularity Baseline,189,56,3,0.3
Popularity Baseline,190,10,0,0.0
Popularity Baseline,191,6,0,0.0
Popularity Baseline,192,10,0,0.0
Popularity Baseline,193,25,0,0.0
Popularity Baseline,194,44,5,0.5
Popularity Baseline,195,25,0,0.0
Popularity Baseline,196,14,0,0.0
Popularity Baseline,197,33,1,0.1
Popularity Baseline,198,31,3,0.3
Popularity Baseline,199,9,0,0.0
Popularity Baseline,200,83,4,0.4
Popularity Baseline,201,54,5,0.5
Popularity Baseline,202,2,0,0.0
Popularity Baseline,203,11,1,0.1
Popularity Baseline,204,11,0,0.0
Popularity Baseline,205,4,0,0.0
Popularity Baseline,206,9,0,0.0
Popularity Baseline,207,39,3,0.3
Popularity Baseline,208,16,0,0.0
Popularity Baseline,209,7,2,0.2
Popularity Baseline,210,49,2,0.2
Popularity Baseline,211,4,0,0.0
Popularity Baseline,212,5,0,0.0
Popularity Baseline,213,50,5,0.5
Popularity Baseline,214,46,5,0.5
Popularity Baseline,215,27,3,0.3
Popularity Baseline,216,34,3,0.3
Popularity Baseline,217,16,0,0.0
Popularity Baseline,218,9,1,0.1
Popularity Baseline,219,6,0,0.0
Popularity Baseline,220,9,0,0.0
Popularity Baseline,221,37,1,0.1
Popularity Baseline,222,68,3,0.3
Popularity Baseline,223,21,1,0.1
Popularity Baseline,224,24,1,0.1
Popularity Baseline,225,10,1,0.1
Popularity Baseline,226,15,2,0.2
Popularity Baseline,227,14,1,0.1
Popularity Baseline,228,7,0,0.0
Popularity Baseline,229,4,0,0.0
Popularity Baseline,230,38,2,0.2
Popularity Baseline,231,8,0,0.0
Popularity Baseline,232,32,4,0.4
Popularity Baseline,233,36,4,0.4
Popularity Baseline,234,68,7,0.7
Popularity Baseline,235,41,1,0.1
Popularity Baseline,236,33,2,0.2
Popularity Baseline,237,19,3,0.3
Popularity Baseline,238,5,0,0.0
Popularity Baseline,239,57,3,0.3
Popularity Baseline,240,5,0,0.0
Popularity Baseline,241,6,0,0.0
Popularity Baseline,242,8,0,0.0
Popularity Baseline,243,24,0,0.0
Popularity Baseline,244,76,0,0.0
Popularity Baseline,245,5,1,0.1
Popularity Baseline,246,31,1,0.1
Popularity Baseline,247,9,1,0.1
Popularity Baseline,248,21,0,0.0
Popularity Baseline,249,53,5,0.5
Popularity Baseline,250,40,3,0.3
Popularity Baseline,251,22,3,0.3
Popularity Baseline,252,9,0,0.0
Popularity Baseline,253,32,4,0.4
Popularity Baseline,254,22,2,0.2
Popularity Baseline,255,11,1,0.1
Popularity Baseline,256,62,1,0.1
Popularity Baseline,257,16,1,0.1
Popularity Baseline,258,10,0,0.0
Popularity Baseline,259,15,3,0.3
Popularity Baseline,260,8,0,0.0
Popularity Baseline,261,12,0,0.0
Popularity Baseline,262,25,3,0.3
Popularity Baseline,263,47,3,0.3
Popularity Baseline,264,45,1,0.1
Popularity Baseline,265,10,0,0.0
Popularity Baseline,266,4,0,0.0
Popularity Baseline,267,52,2,0.2
Popularity Baseline,268,47,5,0.5
Popularity Baseline,269,70,4,0.4
Popularity Baseline,270,58,1,0.1
Popularity Baseline,271,66,4,0.4
Popularity Baseline,272,17,3,0.3
Popularity Baseline,273,7,0,0.0
Popularity Baseline,274,25,1,0.1
Popularity Baseline,275,13,1,0.1
Popularity Baseline,276,131,6,0.6
Popularity Baseline,277,18,0,0.0
Popularity Baseline,278,10,2,0.2
Popularity Baseline,279,98,1,0.1
Popularity Baseline,280,51,1,0.1
Popularity Baseline,281,4,0,0.0
Popularity Baseline,282,7,0,0.0
Popularity Baseline,283,21,1,0.1
Popularity Baseline,284,10,0,0.0
Popularity Baseline,285,13,1,0.1
Popularity Baseline,286,77,2,0.2
Popularity Baseline,287,29,1,0.1
Popularity Baseline,288,25,5,0.5
Popularity Baseline,289,6,0,0.0
Popularity Baseline,290,27,2,0.2
Popularity Baseline,291,80,0,0.0
Popularity Baseline,292,56,2,0.2
Popularity Baseline,293,50,5,0.5
Popularity Baseline,294,32,2,0.2
Popularity Baseline,295,85,3,0.3
Popularity Baseline,296,57,3,0.3
Popularity Baseline,297,49,3,0.3
Popularity Baseline,298,31,2,0.2
Popularity Baseline,299,65,6,0.6
Popularity Baseline,300,5,0,0.0
Popularity Baseline,301,69,4,0.4
Popularity Baseline,302,1,0,0.0
Popularity Baseline,303,105,5,0.5
Popularity Baseline,304,5,0,0.0
Popularity Baseline,305,48,8,0.8
Popularity Baseline,306,14,0,0.0
Popularity Baseline,307,39,3,0.3
Popularity Baseline,308,109,6,0.6
Popularity Baseline,309,3,0,0.0
Popularity Baseline,310,12,0,0.0
Popularity Baseline,311,100,5,0.5
Popularity Baseline,312,69,6,0.6
Popularity Baseline,313,60,5,0.5
Popularity Baseline,314,67,1,0.1
Popularity Baseline,315,32,3,0.3
Popularity Baseline,316,23,5,0.5
Popularity Baseline,317,5,0,0.0
Popularity Baseline,318,51,3,0.3
Popularity Baseline,319,6,0,0.0
Popularity Baseline,320,51,1,0.1
Popularity Baseline,321,29,2,0.2
Popularity Baseline,322,18,4,0.4
Popularity Baseline,323,25,0,0.0
Popularity Baseline,324,12,0,0.0
Popularity Baseline,325,35,3,0.3
Popularity Baseline,326,35,5,0.5
Popularity Baseline,327,61,2,0.2
Popularity Baseline,328,54,2,0.2
Popularity Baseline,329,17,3,0.3
Popularity Baseline,330,56,3,0.3
Popularity Baseline,331,16,1,0.1
Popularity Baseline,332,51,1,0.1
Popularity Baseline,333,8,1,0.1
Popularity Baseline,334,66,4,0.4
Popularity Baseline,335,5,0,0.0
Popularity Baseline,336,11,0,0.0
Popularity Baseline,337,8,0,0.0
Popularity Baseline,338,23,3,0.3
Popularity Baseline,339,67,4,0.4
Popularity Baseline,340,16,0,0.0
Popularity Baseline,341,6,0,0.0
Popularity Baseline,342,38,3,0.3
Popularity Baseline,343,59,2,0.2
Popularity Baseline,344,45,1,0.1
Popularity Baseline,345,53,3,0.3
Popularity Baseline,346,22,1,0.1
Popularity Baseline,347,44,1,0.1
Popularity Baseline,348,23,0,0.0
Popularity Baseline,349,5,0,0.0
Popularity Baseline,350,13,1,0.1
Popularity Baseline,351,12,0,0.0
Popularity Baseline,352,9,0,0.0
Popularity Baseline,353,2,0,0.0
Popularity Baseline,354,51,3,0.3
Popularity Baseline,355,6,0,0.0
Popularity Baseline,356,6,0,0.0
Popularity Baseline,357,21,0,0.0
Popularity Baseline,358,5,1,0.1
Popularity Baseline,359,8,1,0.1
Popularity Baseline,360,24,0,0.0
Popularity Baseline,361,29,1,0.1
Popularity Baseline,362,4,0,0.0
Popularity Baseline,363,39,1,0.1
Popularity Baseline,364,4,0,0.0
Popularity Baseline,365,10,0,0.0
Popularity Baseline,366,13,0,0.0
Popularity Baseline,367,21,0,0.0
Popularity Baseline,368,5,1,0.1
Popularity Baseline,369,3,0,0.0
Popularity Baseline,370,12,1,0.1
Popularity Baseline,371,10,1,0.1
Popularity Baseline,372,19,1,0.1
Popularity Baseline,373,49,3,0.3
Popularity Baseline,374,40,1,0.1
Popularity Baseline,375,6,0,0.0
Popularity Baseline,376,5,1,0.1
Popularity Baseline,377,8,1,0.1
Popularity Baseline,378,51,2,0.2
Popularity Baseline,379,46,4,0.4
Popularity Baseline,380,20,3,0.3
Popularity Baseline,381,27,1,0.1
Popularity Baseline,382,7,0,0.0
Popularity Baseline,383,16,2,0.2
Popularity Baseline,384,5,0,0.0
Popularity Baseline,385,35,4,0.4
Popularity Baseline,386,1,1,0.1
Popularity Baseline,387,46,1,0.1
Popularity Baseline,388,9,1,0.1
Popularity Baseline,389,42,2,0.2
Popularity Baseline,390,9,0,0.0
Popularity Baseline,391,17,3,0.3
Popularity Baseline,392,22,2,0.2
Popularity Baseline,393,62,3,0.3
Popularity Baseline,394,19,0,0.0
Popularity Baseline,395,7,1,0.1
Popularity Baseline,396,10,0,0.0
Popularity Baseline,397,10,2,0.2
Popularity Baseline,398,30,3,0.3
Popularity Baseline,399,12,0,0.0
Popularity Baseline,400,2,0,0.0
Popularity Baseline,401,17,1,0.1
Popularity Baseline,402,11,1,0.1
Popularity Baseline,403,3,0,0.0
Popularity Baseline,404,4,0,0.0
Popularity Baseline,405,21,2,0.2
Popularity Baseline,406,42,4,0.4
Popularity Baseline,407,19,2,0.2
Popularity Baseline,408,1,0,0.0
Popularity Baseline,409,24,3,0.3
Popularity Baseline,410,1,0,0.0
Popularity Baseline,411,6,0,0.0
Popularity Baseline,412,10,3,0.3
Popularity Baseline,413,6,0,0.0
Popularity Baseline,414,1,0,0.0
Popularity Baseline,415,2,0,0.0
Popularity Baseline,416,49,5,0.5
Popularity Baseline,417,26,4,0.4
Popularity Baseline,418,2,0,0.0
Popularity Baseline,419,3,0,0.0
Popularity Baseline,420,2,0,0.0
Popularity Baseline,421,6,0,0.0
Popularity Baseline,422,12,0,0.0
Popularity Baseline,423,8,0,0.0
Popularity Baseline,424,3,0,0.0
Popularity Baseline,425,9,0,0.0
Popularity Baseline,426,11,2,0.2
Popularity Baseline,427,6,0,0.0
Popularity Baseline,428,6,0,0.0
Popularity Baseline,429,26,4,0.4
Popularity Baseline,430,4,0,0.0
Popularity Baseline,431,3,0,0.0
Popularity Baseline,432,7,1,0.1
Popularity Baseline,433,3,1,0.1
Popularity Baseline,434,1,0,0.0
Popularity Baseline,435,15,0,0.0
Popularity Baseline,436,12,0,0.0
Popularity Baseline,437,15,0,0.0
Popularity Baseline,438,3,1,0.1
Popularity Baseline,439,1,0,0.0
Popularity Baseline,440,3,0,0.0
Popularity Baseline,442,5,1,0.1
Popularity Baseline,444,3,1,0.1
Popularity Baseline,445,1,0,0.0
Popularity Baseline,447,8,0,0.0
Popularity Baseline,448,2,0,0.0
Popularity Baseline,449,6,0,0.0
Popularity Baseline,450,35,4,0.4
Popularity Baseline,451,3,0,0.0
Popularity Baseline,452,2,0,0.0
Popularity Baseline,453,5,1,0.1
Popularity Baseline,454,4,0,0.0
Popularity Baseline,455,2,0,0.0
Popularity Baseline,456,1,0,0.0
Popularity Baseline,457,7,0,0.0
Popularity Baseline,458,3,0,0.0
Popularity Baseline,462,1,0,0.0
User-Based CF,1,79,6,0.6
User-Based CF,2,12,2,0.2
User-Based CF,3,5,1,0.1
User-Based CF,4,8,0,0.0
User-Based CF,5,25,0,0.0
User-Based CF,6,64,6,0.6
User-Based CF,7,135,8,0.8
User-Based CF,8,22,5,0.5
User-Based CF,9,9,0,0.0
User-Based CF,10,82,7,0.7
User-Based CF,11,37,0,0.0
User-Based CF,12,25,2,0.2
User-Based CF,13,107,3,0.3
User-Based CF,14,41,4,0.4
User-Based CF,15,15,0,0.0
User-Based CF,16,59,3,0.3
User-Based CF,17,2,0,0.0
User-Based CF,18,69,8,0.8
User-Based CF,19,5,0,0.0
User-Based CF,20,6,0,0.0
User-Based CF,21,21,0,0.0
User-Based CF,22,36,1,0.1
User-Based CF,23,35,3,0.3
User-Based CF,24,22,2,0.2
User-Based CF,25,30,4,0.4
User-Based CF,26,6,0,0.0
User-Based CF,27,6,0,0.0
User-Based CF,28,27,3,0.3
User-Based CF,29,10,1,0.1
User-Based CF,30,12,0,0.0
User-Based CF,31,10,0,0.0
User-Based CF,32,6,0,0.0
User-Based CF,33,7,1,0.1
User-Based CF,34,9,0,0.0
User-Based CF,35,3,0,0.0
User-Based CF,36,7,0,0.0
User-Based CF,37,15,0,0.0
User-Based CF,38,33,1,0.1
User-Based CF,39,5,0,0.0
User-Based CF,40,6,0,0.0
User-Based CF,41,13,0,0.0
User-Based CF,42,63,4,0.4
User-Based CF,43,75,9,0.9
User-Based CF,44,47,2,0.2
User-Based CF,45,12,1,0.1
User-Based CF,46,12,1,0.1
User-Based CF,47,6,1,0.1
User-Based CF,48,21,4,0.4
User-Based CF,49,25,0,0.0
User-Based CF,50,6,0,0.0
User-Based CF,51,3,1,0.1
User-Based CF,52,17,1,0.1
User-Based CF,53,6,0,0.0
User-Based CF,54,25,3,0.3
User-Based CF,55,4,1,0.1
User-Based CF,56,56,5,0.5
User-Based CF,57,20,0,0.0
User-Based CF,58,52,5,0.5
User-Based CF,59,112,9,0.9
User-Based CF,60,76,6,0.6
User-Based CF,61,3,0,0.0
User-Based CF,62,55,5,0.5
User-Based CF,63,17,1,0.1
User-Based CF,64,54,3,0.3
User-Based CF,65,25,1,0.1
User-Based CF,66,9,0,0.0
User-Based CF,67,13,1,0.1
User-Based CF,68,6,1,0.1
User-Based CF,69,16,1,0.1
User-Based CF,70,30,3,0.3
User-Based CF,71,9,0,0.0
User-Based CF,72,50,6,0.6
User-Based CF,73,22,4,0.4
User-Based CF,74,8,1,0.1
User-Based CF,75,18,0,0.0
User-Based CF,76,21,0,0.0
User-Based CF,77,18,1,0.1
User-Based CF,78,4,0,0.0
User-Based CF,79,17,2,0.2
User-Based CF,80,7,0,0.0
User-Based CF,81,11,3,0.3
User-Based CF,82,34,2,0.2
User-Based CF,83,48,1,0.1
User-Based CF,84,19,2,0.2
User-Based CF,85,69,6,0.6
User-Based CF,86,4,0,0.0
User-Based CF,87,62,3,0.3
User-Based CF,88,7,1,0.1
User-Based CF,89,24,1,0.1
User-Based CF,90,108,8,0.8
User-Based CF,91,34,6,0.6
User-Based CF,92,76,3,0.3
User-Based CF,93,8,0,0.0
User-Based CF,94,106,8,0.8
User-Based CF,95,61,4,0.4
User-Based CF,96,24,3,0.3
User-Based CF,97,24,2,0.2
User-Based CF,98,3,0,0.0
User-Based CF,99,38,2,0.2
User-Based CF,100,8,0,0.0
User-Based CF,101,6,0,0.0
User-Based CF,102,12,0,0.0
User-Based CF,103,9,2,0.2
User-Based CF,104,7,1,0.1
User-Based CF,105,4,1,0.1
User-Based CF,106,26,1,0.1
User-Based CF,107,5,0,0.0
User-Based CF,108,8,0,0.0
User-Based CF,109,49,2,0.2
User-Based CF,110,13,1,0.1
User-Based CF,111,7,0,0.0
User-Based CF,112,14,2,0.2
User-Based CF,113,11,0,0.0
User-Based CF,114,9,0,0.0
User-Based CF,115,29,1,0.1
User-Based CF,116,14,3,0.3
User-Based CF,117,36,4,0.4
User-Based CF,118,26,2,0.2
User-Based CF,119,64,3,0.3
User-Based CF,120,7,0,0.0
User-Based CF,121,15,1,0.1
User-Based CF,122,19,0,0.0
User-Based CF,123,13,1,0.1
User-Based CF,124,6,0,0.0
User-Based CF,125,45,5,0.5
User-Based CF,126,10,1,0.1
User-Based CF,127,10,0,0.0
User-Based CF,128,57,2,0.2
User-Based CF,129,2,0,0.0
User-Based CF,130,121,5,0.5
User-Based CF,131,12,2,0.2
User-Based CF,132,4,0,0.0
User-Based CF,133,2,0,0.0
User-Based CF,134,8,1,0.1
User-Based CF,135,18,0,0.0
User-Based CF,136,13,3,0.3
User-Based CF,137,22,2,0.2
User-Based CF,138,22,3,0.3
User-Based CF,139,8,1,0.1
User-Based CF,140,4,0,0.0
User-Based CF,141,24,1,0.1
User-Based CF,142,7,1,0.1
User-Based CF,143,4,0,0.0
User-Based CF,144,63,3,0.3
User-Based CF,145,63,4,0.4
User-Based CF,146,6,2,0.2
User-Based CF,147,9,0,0.0
User-Based CF,148,24,1,0.1
User-Based CF,149,3,0,0.0
User-Based CF,150,18,2,0.2
User-Based CF,151,99,6,0.6
User-Based CF,152,29,2,0.2
User-Based CF,153,2,0,0.0
User-Based CF,154,17,2,0.2
User-Based CF,155,2,0,0.0
User-Based CF,156,11,1,0.1
User-Based CF,157,15,1,0.1
User-Based CF,158,47,4,0.4
User-Based CF,159,21,0,0.0
User-Based CF,160,35,4,0.4
User-Based CF,161,4,0,0.0
User-Based CF,162,17,0,0.0
User-Based CF,163,6,1,0.1
User-Based CF,164,25,1,0.1
User-Based CF,165,9,0,0.0
User-Based CF,166,7,0,0.0
User-Based CF,167,12,1,0.1
User-Based CF,168,18,0,0.0
User-Based CF,169,11,1,0.1
User-Based CF,170,4,0,0.0
User-Based CF,171,5,1,0.1
User-Based CF,172,5,0,0.0
User-Based CF,173,13,0,0.0
User-Based CF,174,45,1,0.1
User-Based CF,175,8,1,0.1
User-Based CF,176,15,1,0.1
User-Based CF,177,30,4,0.4
User-Based CF,178,76,4,0.4
User-Based CF,179,10,0,0.0
User-Based CF,180,19,0,0.0
User-Based CF,181,9,0,0.0
User-Based CF,182,6,0,0.0
User-Based CF,183,9,0,0.0
User-Based CF,184,60,5,0.5
User-Based CF,185,22,3,0.3
User-Based CF,186,25,0,0.0
User-Based CF,187,15,1,0.1
User-Based CF,188,31,2,0.2
User-Based CF,189,56,5,0.5
User-Based CF,190,10,0,0.0
User-Based CF,191,6,3,0.3
User-Based CF,192,10,1,0.1
User-Based CF,193,25,1,0.1
User-Based CF,194,44,1,0.1
User-Based CF,195,25,0,0.0
User-Based CF,196,14,0,0.0
User-Based CF,197,33,2,0.2
User-Based CF,198,31,3,0.3
User-Based CF,199,9,0,0.0
User-Based CF,200,83,4,0.4
User-Based CF,201,54,1,0.1
User-Based CF,202,2,0,0.0
User-Based CF,203,11,1,0.1
User-Based CF,204,11,1,0.1
User-Based CF,205,4,0,0.0
User-Based CF,206,9,0,0.0
User-Based CF,207,39,4,0.4
User-Based CF,208,16,0,0.0
User-Based CF,209,7,2,0.2
User-Based CF,210,49,3,0.3
User-Based CF,211,4,1,0.1
User-Based CF,212,5,0,0.0
User-Based CF,213,50,6,0.6
User-Based CF,214,46,7,0.7
User-Based CF,215,27,3,0.3
User-Based CF,216,34,3,0.3
User-Based CF,217,16,0,0.0
User-Based CF,218,9,1,0.1
User-Based CF,219,6,0,0.0
User-Based CF,220,9,0,0.0
User-Based CF,221,37,2,0.2
User-Based CF,222,68,3,0.3
User-Based CF,223,21,0,0.0
User-Based CF,224,24,1,0.1
User-Based CF,225,10,1,0.1
User-Based CF,226,15,2,0.2
User-Based CF,227,14,1,0.1
User-Based CF,228,7,1,0.1
User-Based CF,229,4,0,0.0
User-Based CF,230,38,0,0.0
User-Based CF,231,8,1,0.1
User-Based CF,232,32,3,0.3
User-Based CF,233,36,5,0.5
User-Based CF,234,68,5,0.5
User-Based CF,235,41,2,0.2
User-Based CF,236,33,0,0.0
User-Based CF,237,19,0,0.0
User-Based CF,238,5,0,0.0
User-Based CF,239,57,4,0.4
User-Based CF,240,5,1,0.1
User-Based CF,241,6,1,0.1
User-Based CF,242,8,0,0.0
User-Based CF,243,24,1,0.1
User-Based CF,244,76,1,0.1
User-Based CF,245,5,0,0.0
User-Based CF,246,31,0,0.0
User-Based CF,247,9,1,0.1
User-Based CF,248,21,2,0.2
User-Based CF,249,53,4,0.4
User-Based CF,250,40,3,0.3
User-Based CF,251,22,1,0.1
User-Based CF,252,9,0,0.0
User-Based CF,253,32,5,0.5
User-Based CF,254,22,2,0.2
User-Based CF,255,11,0,0.0
User-Based CF,256,62,2,0.2
User-Based CF,257,16,2,0.2
User-Based CF,258,10,1,0.1
User-Based CF,259,15,1,0.1
User-Based CF,260,8,1,0.1
User-Based CF,261,12,0,0.0
User-Based CF,262,25,3,0.3
User-Based CF,263,47,3,0.3
User-Based CF,264,45,1,0.1
User-Based CF,265,10,0,0.0
User-Based CF,266,4,1,0.1
User-Based CF,267,52,5,0.5
User-Based CF,268,47,5,0.5
User-Based CF,269,70,3,0.3
User-Based CF,270,58,2,0.2
User-Based CF,271,66,4,0.4
User-Based CF,272,17,2,0.2
User-Based CF,273,7,0,0.0
User-Based CF,274,25,1,0.1
User-Based CF,275,13,0,0.0
User-Based CF,276,131,8,0.8
User-Based CF,277,18,0,0.0
User-Based CF,278,10,2,0.2
User-Based CF,279,98,4,0.4
User-Based CF,280,51,1,0.1
User-Based CF,281,4,0,0.0
User-Based CF,282,7,0,0.0
User-Based CF,283,21,1,0.1
User-Based CF,284,10,0,0.0
User-Based CF,285,13,1,0.1
User-Based CF,286,77,3,0.3
User-Based CF,287,29,1,0.1
User-Based CF,288,25,5,0.5
User-Based CF,289,6,0,0.0
User-Based CF,290,27,3,0.3
User-Based CF,291,80,1,0.1
User-Based CF,292,56,5,0.5
User-Based CF,293,50,4,0.4
User-Based CF,294,32,1,0.1
User-Based CF,295,85,2,0.2
User-Based CF,296,57,3,0.3
User-Based CF,297,49,3,0.3
User-Based CF,298,31,3,0.3
User-Based CF,299,65,4,0.4
User-Based CF,300,5,0,0.0
User-Based CF,301,69,5,0.5
User-Based CF,302,1,0,0.0
User-Based CF,303,105,6,0.6
User-Based CF,304,5,0,0.0
User-Based CF,305,48,4,0.4
User-Based CF,306,14,0,0.0
User-Based CF,307,39,4,0.4
User-Based CF,308,109,7,0.7
User-Based CF,309,3,0,0.0
User-Based CF,310,12,0,0.0
